Chemical,Endpoint Value,Endpoint Description,Sex,Life Cycle Stage,Location,Sample Size,Tox Exposure,Toxicity Endpoint Type,Tox Exposure Duration,Tox Exposure Technique,Type,Endpoint Value_numeric,Tox Exposure Duration_minutes
ENDOSULFAN,0.005-12.99 ng/mL,Plasma concentration of endosulfan sulfate,Both,Juvenile,Bahía Magdalena,12.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,0.005,NR
HEPTACHLOR,2.731588 ng/mL,Plasma concentration,Both,Juvenile,Bahía Magdalena,13.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,2.731588,NR
HEPTACHLOR EPOXIDE,1.844882 ng/mL,Plasma concentration,Both,Juvenile,Bahía Magdalena,13.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,1.844882,NR
"DDT (4,4'-)",0.001-3.98 ng/mL,Plasma concentration,Both,Juvenile,Bahía Magdalena,13.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,0.001,NR
ARSENIC (elemental),"5.95 µg/g dw, 0.98 ww",Plasma concentration,NR,NR,"Big Bend, Citrus County",9.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,5.95,NR
CADMIUM (elemental),"0.06 µg/g dw, 0.01 ww",Plasma concentration,NR,NR,"Big Bend, Citrus County",9.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,0.06,NR
LEAD (elemental),"0.03 µg/g dw, 0.006 ww",Plasma concentration,NR,NR,"Big Bend, Citrus County",9.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,0.03,NR
SELENIUM (elemental),"41.54 µg/g dw, 6.84 ww",Plasma concentration,NR,NR,"Big Bend, Citrus County",9.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,41.54,NR
MANGANESE COMPOUNDS,0.31 ± 0.07 µg/g ww,Egg concentration,Both,Embryo,Pacific Coast,31.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,0.31,NR
IRON (elemental),11.7 ± 0.9 µg/g ww,Egg concentration,Both,Embryo,Pacific Coast,31.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,11.7,NR
COPPER (elemental),0.5 ± 0.1 µg/g ww,Egg concentration,Both,Embryo,Pacific Coast,31.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,0.5,NR
ZINC (elemental),14± 3 µg/g ww,Egg concentration,Both,Embryo,Pacific Coast,31.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,14.0,NR
ARSENIC (elemental),0.12 ± 0.04 µg/g ww,Egg concentration,Both,Embryo,Pacific Coast,31.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,0.12,NR
CADMIUM (elemental),0.09 ± 0.04 µg/g ww,Egg concentration,Both,Embryo,Pacific Coast,31.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,0.09,NR
MERCURY (elemental),0.006 ± 0.002 µg/g ww,Egg concentration,Both,Embryo,Pacific Coast,29.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,0.006,NR
LEAD (elemental),0.003 ± 0.002 µg/g ww,Egg concentration,Both,Embryo,Pacific Coast,11.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,0.003,NR
HEXACHLOROCYCLOHEXANE,6.0 ± 6.54 ng/g ww,α isomer fat concentration,NR,Juvenile,SE coast,64.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,6.0,NR
HEXACHLOROCYCLOHEXANE,11.4 ± 8.39 ng/g ww,β isomer fat concentration,NR,Juvenile,SE coast,64.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,11.4,NR
"DDE (2,4'-)",Max: 34.9 ng/g ww,Fat concentration,NR,Juvenile,SE coast,64.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,34.9,NR
"DDE (4,4'-)",4.5 ± 4.32 ng/g ww,Fat concentration,NR,Juvenile,SE coast,64.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,4.5,NR
"DDD (2,4'-)",4.0 ± 9.44 ng/g ww,Fat concentration,NR,Juvenile,SE coast,64.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,4.0,NR
"DDD (4,4'-)",Max: 4.2 ng/g ww,Fat concentration,NR,Juvenile,SE coast,64.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,4.2,NR
ENDOSULFAN,5.2 ± 19.52 ng/g ww,α isomer fat concentration,NR,Juvenile,SE coast,64.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,5.2,NR
ENDOSULFAN,Max: 38.6 ng/g ww,β isomer fat concentration,NR,Juvenile,SE coast,64.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,38.6,NR
ENDOSULFAN,3.4 ± 9.81 ng/g ww,Endosuphan sulfate fat concentration,NR,Juvenile,SE coast,64.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,3.4,NR
HEPTACHLOR,18.6 ± 15.04 ng/g ww,Fat concentration,NR,Juvenile,SE coast,64.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,18.6,NR
DICOFOL,81.7 ± 325.38 ng/g ww,Fat concentration,NR,Juvenile,SE coast,64.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,81.7,NR
MIREX,Max: 19.6 ng/g ww,Fat concentration,NR,Juvenile,SE coast,64.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,19.6,NR
HEXACHLOROCYCLOHEXANE,16.9 ± 13.21 ng/g ww,ƩHCH fat concentration,NR,Juvenile,SE coast,64.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,16.9,NR
DDT (Technical Grade Mixture),8.7 ± 13.54 ng/g ww,Fat concentration,NR,Juvenile,SE coast,64.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,8.7,NR
ENDOSULFAN,8.1 ± 26.15 ng/g ww,Ʃendosulphan fat concentration,NR,Juvenile,SE coast,64.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,8.1,NR
ORGANOCHLORINES,104.9 ± 290.67 ng/g ww,Fat concentration,NR,Juvenile,SE coast,64.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,104.9,NR
HEXACHLOROCYCLOHEXANE,4.4 ± 13.21 ng/g ww,α isomer liver concentration,NR,Juvenile,SE coast,64.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,4.4,NR
HEXACHLOROCYCLOHEXANE,3.5 ± 4.49 ng/g ww,β isomer liver concentration,NR,Juvenile,SE coast,64.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,3.5,NR
"DDE (2,4'-)",Max: 29.2 ng/g ww,Liver concentration,NR,Juvenile,SE coast,64.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,29.2,NR
"DDE (4,4'-)",3.1 ± 2.65 ng/g ww,Liver concentration,NR,Juvenile,SE coast,64.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,3.1,NR
"DDD (2,4'-)",Max: 13.9 ng/g ww,Liver concentration,NR,Juvenile,SE coast,64.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,13.9,NR
"DDD (4,4'-)",Max:10.82 ng/g ww,Liver concentration,NR,Juvenile,SE coast,64.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,10.82,NR
ENDOSULFAN,6.7 ± 16.37 ng/g ww,α isomer liver concentration,NR,Juvenile,SE coast,64.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,6.7,NR
ENDOSULFAN,1.7 ± 3.92 ng/g ww,β isomer liver concentration,NR,Juvenile,SE coast,64.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,1.7,NR
ENDOSULFAN,2.8 ±11.75 ng/g ww,Endosuphan sulphate liver concentration,NR,Juvenile,SE coast,64.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,2.8,NR
HEPTACHLOR,12.5 ± 11.29 ng/g ww,Liver concentration,NR,Juvenile,SE coast,64.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,12.5,NR
ALUMINUM COMPOUNDS,0.56 ± 0.50 µg/g ww,Blood concentration,Both,Both Adults and Juveniles,Samandağ & Dörtyol,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,0.56,NR
CHROMIUM (elemental),0.04 ± 0.03 µg/g ww,Blood concentration,Both,Both Adults and Juveniles,Samandağ & Dörtyol,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,0.04,NR
COPPER (elemental),1.92 ± 1.69 µg/g ww,Blood concentration,Both,Both Adults and Juveniles,Samandağ & Dörtyol,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,1.92,NR
IRON (elemental),4.74 ± 1.12 µg/g ww,Blood concentration,Both,Both Adults and Juveniles,Samandağ & Dörtyol,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,4.74,NR
MANGANESE COMPOUNDS,0.02 ± 0.01 µg/g ww,Blood concentration,Both,Both Adults and Juveniles,Samandağ & Dörtyol,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,0.02,NR
NICKEL (elemental),2.60 ± 1.23 µg/g ww,Blood concentration,Both,Both Adults and Juveniles,Samandağ & Dörtyol,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,2.6,NR
LEAD (elemental),0.02 ± 0.02 µg/g ww,Blood concentration,Both,Both Adults and Juveniles,Samandağ & Dörtyol,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,0.02,NR
ZINC (elemental),2.48 ± 0.61 µg/g ww,Blood concentration,Both,Both Adults and Juveniles,Samandağ & Dörtyol,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,2.48,NR
ALUMINUM COMPOUNDS,0.80 ± 0.50 µg/g ww,Kidney concentration,Both,Both Adults and Juveniles,Samandağ & Dörtyol,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,0.8,NR
CADMIUM (elemental),4.24 ± 1.01 µg/g ww,Kidney concentration,Both,Both Adults and Juveniles,Samandağ & Dörtyol,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,4.24,NR
CHROMIUM (elemental),0.05 ± 0.05 µg/g ww,Kidney concentration,Both,Both Adults and Juveniles,Samandağ & Dörtyol,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,0.05,NR
COPPER (elemental),2.03 ± 1.64 µg/g ww,Kidney concentration,Both,Both Adults and Juveniles,Samandağ & Dörtyol,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,2.03,NR
IRON (elemental),22.10 ± 2.59 µg/g ww,Kidney concentration,Both,Both Adults and Juveniles,Samandağ & Dörtyol,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,22.1,NR
MERCURY (elemental),0.03 ± 0.02 µg/g ww,Kidney concentration,Both,Both Adults and Juveniles,Samandağ & Dörtyol,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,0.03,NR
MANGANESE COMPOUNDS,0.31 ± 0.06 µg/g ww,Kidney concentration,Both,Both Adults and Juveniles,Samandağ & Dörtyol,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,0.31,NR
NICKEL (elemental),3.31 ± 1.69 µg/g ww,Kidney concentration,Both,Both Adults and Juveniles,Samandağ & Dörtyol,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,3.31,NR
LEAD (elemental),0.03 ± 0.01 µg/g ww,Kidney concentration,Both,Both Adults and Juveniles,Samandağ & Dörtyol,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,0.03,NR
ZINC (elemental),3.82 ± 2.44 µg/g ww,Kidney concentration,Both,Both Adults and Juveniles,Samandağ & Dörtyol,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,3.82,NR
ALUMINUM COMPOUNDS,0.96 ± 0.63 µg/g ww,Liver concentration,Both,Both Adults and Juveniles,Samandağ & Dörtyol,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,0.96,NR
CADMIUM (elemental),0.54 ± 0.31 µg/g ww,Liver concentration,Both,Both Adults and Juveniles,Samandağ & Dörtyol,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,0.54,NR
CHROMIUM (elemental),0.04 ± 0.05 µg/g ww,Liver concentration,Both,Both Adults and Juveniles,Samandağ & Dörtyol,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,0.04,NR
COPPER (elemental),2.13 ± 1.95 µg/g ww,Liver concentration,Both,Both Adults and Juveniles,Samandağ & Dörtyol,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,2.13,NR
IRON (elemental),297.60 ± 43.16 µg/g ww,Liver concentration,Both,Both Adults and Juveniles,Samandağ & Dörtyol,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,297.6,NR
MERCURY (elemental),0.04 ± 0.02 µg/g ww,Liver concentration,Both,Both Adults and Juveniles,Samandağ & Dörtyol,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,0.04,NR
MANGANESE COMPOUNDS,1.42 ± 0.40 µg/g ww,Liver concentration,Both,Both Adults and Juveniles,Samandağ & Dörtyol,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,1.42,NR
NICKEL (elemental),3.98 ± 3.13 µg/g ww,Liver concentration,Both,Both Adults and Juveniles,Samandağ & Dörtyol,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,3.98,NR
LEAD (elemental),0.03 ± 0.02 µg/g ww,Liver concentration,Both,Both Adults and Juveniles,Samandağ & Dörtyol,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,0.03,NR
SELENIUM (elemental),0.46 ± 0.34 µg/g ww,Liver concentration,Both,Both Adults and Juveniles,Samandağ & Dörtyol,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,0.46,NR
ZINC (elemental),4.04 ± 1.85 µg/g ww,Liver concentration,Both,Both Adults and Juveniles,Samandağ & Dörtyol,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,4.04,NR
MERCURY (elemental),0.81 ± 0.50 µg/g dw,Feather concentration,Both,Nestling,Georgia & South Carolina,10.0,NR,TOX-EXP IND - accumulation,NR,Environmental Contamination,Toxicity Factor Datasets,0.81,NR
"DDD (2,4'-)",0.16 ppm ww,Egg concentration,NR,Embryo,Blackfoot Reservoir,6.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.16,NR
"DDT (2,4'-)",0.47 ppm ww,Egg concentration,NR,Embryo,Blackfoot Reservoir,6.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.47,NR
PCB,0.08 ppm ww,Egg concentration,NR,Embryo,Blackfoot Reservoir,1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.08,NR
"DDE (2,4'-)",4.2 ppm ww,Egg concentration,NR,Embryo,Minidoka National Wildlife Refuge,10.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,4.2,NR
"DDD (2,4'-)",0.12 ppm ww,Egg concentration,NR,Embryo,Minidoka National Wildlife Refuge,4.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.12,NR
"DDT (2,4'-)",0.46 ppm ww,Egg concentration,NR,Embryo,Minidoka National Wildlife Refuge,6.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.46,NR
DIELDRIN,0.02 ppm ww,Egg concentration,NR,Embryo,Minidoka National Wildlife Refuge,2.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.02,NR
HEPTACHLOR EPOXIDE,0.03 ppm ww,Egg concentration,NR,Embryo,Minidoka National Wildlife Refuge,1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.03,NR
OXYCHLORDANE,0.02 ppm ww,Egg concentration,NR,Embryo,Minidoka National Wildlife Refuge,1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.02,NR
CIS-CHLORDANE,0.03 ppm ww,Egg concentration,NR,Embryo,Minidoka National Wildlife Refuge,1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.03,NR
TOXAPHENE (POLYCHLORINATED CAMPHENES),0.04 ppm ww,Egg concentration,NR,Embryo,Minidoka National Wildlife Refuge,1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.04,NR
PCB,0.19 ppm ww,Egg concentration,NR,Embryo,Minidoka National Wildlife Refuge,3.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.19,NR
"DDE (2,4'-)",5 ppm: 5 eggs/nest,Clutch size relative to DDE concentration,NR,Embryo,NR,10.0,NR,TOX-REPRO - reproductive success,NR,NR,Toxicity Factor Datasets,5.0,NR
MERCURY COMPOUNDS,"1997: 0.31, 1998: 0.61 µg/g ww",Stomach concentration,NR,Both Adults and Juveniles,Carson Lake,5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1997.0,NR
METHYLMERCURY,"1997: 0.28, 1998: 0.43 µg/g ww",Stomach concentration,NR,Both Adults and Juveniles,Carson Lake,5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1997.0,NR
PCB,2.49 µg/g ww,Egg concentration,NR,Embryo,Mallard Slough,5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,2.49,NR
PCB,"1989: 2.19, 1990: 0.792, 1991: 1.55",Egg concentration,NR,Embryo,W. Marin Island,5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1989.0,NR
PCB,0.185 µg/g ww,Egg concentration,NR,Embryo,S. Wilbur Flood Area,5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.185,NR
"DDE (4,4'-)",0.925 µg/g ww,Egg concentration,NR,Embryo,Mallard Slough,5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.925,NR
"DDE (4,4'-)","1989: 1.86, 1990: 0.824, 1991: 1.17 µg/g ww",Egg concentration,NR,Embryo,W. Marin Island,5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1989.0,NR
"DDE (4,4'-)",3.01 µg/g ww,Egg concentration,NR,Embryo,S. Wilbur Flood Area,5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,3.01,NR
BORON COMPOUNDS,"BI-89: 0.408, WM-89: 0.395, WM-91: 0.859, SW-91: 1.29 µg/g ww",Egg concentration,NR,Embryo,"Bair Island, WM: West Marin Island, SW: South Wilbur Flood Area",5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,89.0,NR
BARIUM (elemental),"BI-89: 0.259, WM-89: 0.351, SW-91: 0.823 µg/g ww",Egg concentration,NR,Embryo,"Bair Island, WM: West Marin Island, SW: South Wilbur Flood Area",5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,89.0,NR
CHROMIUM (elemental),"BI-89: 0.849, WM-89: 0.813 µg/g ww",Egg concentration,NR,Embryo,"Bair Island, WM: West Marin Island, SW: South Wilbur Flood Area",5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,89.0,NR
COPPER (elemental),"BI-89: 7.16, WM-89: 7.10, WM-91: 7.12, SW-91: 6.21 µg/g ww",Egg concentration,NR,Embryo,"Bair Island, WM: West Marin Island, SW: South Wilbur Flood Area",5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,89.0,NR
IRON (elemental),"BI-89: 119.0, WM-89: 121.0, WM-91: 135.0, SW-91: 141.0 µg/g ww",Egg concentration,NR,Embryo,"Bair Island, WM: West Marin Island, SW: South Wilbur Flood Area",5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,89.0,NR
MAGNESIUM COMPOUNDS,"BI-89: 549, WM-89: 623, WM-91: 597, SW-91: 643 µg/g ww",Egg concentration,NR,Embryo,"Bair Island, WM: West Marin Island, SW: South Wilbur Flood Area",5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,89.0,NR
MANGANESE COMPOUNDS,"BI-89: 2.43, WM-89: 3.07, WM-91: 4.54, SW-91: 2.43 µg/g ww",Egg concentration,NR,Embryo,"Bair Island, WM: West Marin Island, SW: South Wilbur Flood Area",5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,89.0,NR
MOLYBDENUM,"BI-89:0.778, WM-89: 0.884, WM-91: 0.617, SW-91: 0.616 µg/g ww",Egg concentration,NR,Embryo,"Bair Island, WM: West Marin Island, SW: South Wilbur Flood Area",5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,89.0,NR
STRONTIUM,"BI-89: 5.01, WM-89: 6.65, WM-91: 6.02, SW-91: 5.71 µg/g ww",Egg concentration,NR,Embryo,"Bair Island, WM: West Marin Island, SW: South Wilbur Flood Area",5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,89.0,NR
ZINC (elemental),"BI-89: 53.6, WM-89: 57.8, WM-91: 51.5, SW-91: 52.3 µg/g ww",Egg concentration,NR,Embryo,"Bair Island, WM: West Marin Island, SW: South Wilbur Flood Area",5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,89.0,NR
PERFLUOROOCTANESULFONIC ACID (PFSA),256 ng/g ww,Liver concentration,NR,Not Reported,Naples,2.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,256.0,NR
PERFLUOROOCTANESULFONIC ACID (PFSA),43 ng/g ww,Liver concentration,NR,Not Reported,Bonita Springs,1.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,43.0,NR
MERCURY (elemental),0.07 µg/g ww,Egg concentration,Both,Embryo,Lower Laguna Madre,4.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.07,NR
SELENIUM (elemental),0.30 µg/g ww,Egg concentration,Both,Embryo,Lower Laguna Madre,4.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.3,NR
BORON COMPOUNDS,0.74 µg/g ww,Egg concentration,Both,Embryo,Lower Laguna Madre,4.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.74,NR
CHROMIUM (elemental),0.11 µg/g ww,Egg concentration,Both,Embryo,Lower Laguna Madre,4.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.11,NR
COPPER (elemental),0.93 µg/g ww,Egg concentration,Both,Embryo,Lower Laguna Madre,4.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.93,NR
IRON (elemental),14.6 µg/g ww,Egg concentration,Both,Embryo,Lower Laguna Madre,4.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,14.6,NR
MAGNESIUM COMPOUNDS,89 µg/g ww,Egg concentration,Both,Embryo,Lower Laguna Madre,4.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,89.0,NR
MANGANESE COMPOUNDS,0.46 µg/g ww,Egg concentration,Both,Embryo,Lower Laguna Madre,4.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.46,NR
STRONTIUM,1.25 µg/g ww,Egg concentration,Both,Embryo,Lower Laguna Madre,4.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1.25,NR
ZINC (elemental),9.5 µg/g ww,Egg concentration,Both,Embryo,Lower Laguna Madre,4.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,9.5,NR
"DDE (4,4'-)",0.249 µg/g ww,Egg concentration,Both,Embryo,Lower Laguna Madre,4.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.249,NR
PCB,0.078 µg/g ww,Egg concentration,Both,Embryo,Lower Laguna Madre,4.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.078,NR
PCB,See citation Figure 2,Egg concentration; congener pattern,Both,Embryo,Lower Laguna Madre,4.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,2.0,NR
MERCURY (elemental),"Median: 922.5, geometric mean: 806.5 ng/g",Feather concentration,NR,Nestling,Birama Swamp,21.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,922.5,NR
LEAD (elemental),"Median: 279.6, geometric mean: 1116.6 ng/g",Feather concentration,NR,Nestling,Birama Swamp,21.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,279.6,NR
SELENIUM (elemental),"Median: 1440.0, geometric mean: 342.8 ng/g",Feather concentration,NR,Nestling,Birama Swamp,21.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,1440.0,NR
LEAD (elemental),0.26 µg/g ww,Liver concentration,NR,Nestling,"Mangrove estuary, west coast of Everglades National Park",5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,0.26,NR
COPPER (elemental),21 µg/g ww,Liver concentration,NR,Nestling,"Mangrove estuary, west coast of Everglades National Park",5.0,NR,TOX-EXP IND - accumulation,NR,Environmental contamination,Toxicity Factor Datasets,21.0,NR
